0:0:0:0:0:0:0:1 - - [01/Jun/2016:09:17:57 -0300] "GET / HTTP/1.1" 200 4995
127.0.0.1 - - [01/Jun/2016:11:26:07 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 891
127.0.0.1 - - [01/Jun/2016:11:26:08 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 3023
127.0.0.1 - - [01/Jun/2016:11:26:08 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 901
127.0.0.1 - - [01/Jun/2016:11:26:08 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 3077
127.0.0.1 - - [01/Jun/2016:11:26:12 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 885
127.0.0.1 - - [01/Jun/2016:11:26:12 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 2975
127.0.0.1 - - [01/Jun/2016:11:26:13 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 895
127.0.0.1 - - [01/Jun/2016:11:26:13 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 3029
127.0.0.1 - - [01/Jun/2016:11:26:13 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 877
127.0.0.1 - - [01/Jun/2016:11:26:13 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 2947
127.0.0.1 - - [01/Jun/2016:11:26:13 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 887
127.0.0.1 - - [01/Jun/2016:11:26:13 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 2993
127.0.0.1 - - [01/Jun/2016:11:33:16 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 891
127.0.0.1 - - [01/Jun/2016:11:33:16 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 3023
127.0.0.1 - - [01/Jun/2016:11:33:16 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 901
127.0.0.1 - - [01/Jun/2016:11:33:17 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 3077
127.0.0.1 - - [01/Jun/2016:11:33:19 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 885
127.0.0.1 - - [01/Jun/2016:11:33:19 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 2975
127.0.0.1 - - [01/Jun/2016:11:33:19 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 895
127.0.0.1 - - [01/Jun/2016:11:33:19 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 3029
127.0.0.1 - - [01/Jun/2016:11:33:19 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 877
127.0.0.1 - - [01/Jun/2016:11:33:19 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 2947
127.0.0.1 - - [01/Jun/2016:11:33:20 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 887
127.0.0.1 - - [01/Jun/2016:11:33:20 -0300] "POST /juddiv3/services/inquiry HTTP/1.1" 200 2993
