0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:54 -0300] "GET / HTTP/1.1" 200 4995
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:56 -0300] "GET /juddi-gui HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:56 -0300] "GET /juddi-gui/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/home.jsp HTTP/1.1" 200 20657
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/css/bootstrap.min.css HTTP/1.1" 200 105939
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 6171
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/css/bootstrap-timepicker.min.css HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/css/ui-lightness/jquery-ui-1.10.2.custom.min.css HTTP/1.1" 200 16781
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/css/font-awesome.min.css HTTP/1.1" 200 15725
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/js/jquery-1.9.1.js HTTP/1.1" 200 268381
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/css/bootstrap-modal.css HTTP/1.1" 200 4229
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/css/bootstrap-responsive.min.css HTTP/1.1" 200 16849
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/js/i18n.js.jsp HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/js/bootstrap.min.js HTTP/1.1" 200 28418
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 29036
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/js/bootstrap-timepicker.min.js HTTP/1.1" 200 14280
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/js/bootstrap-modal.js HTTP/1.1" 200 9244
0:0:0:0:0:0:0:1 - - [14/May/2016:14:33:58 -0300] "GET /juddi-gui/js/bootstrap-modalmanager.js HTTP/1.1" 200 10648
